   z       f1     W1-W2   W1-W3  W3-W4   W2-W3 
 0.21250    0.564    0.230    0.089    0.004   -0.141
 0.21300    0.564    0.231    0.090    0.004   -0.141
 0.21350    0.563    0.231    0.090    0.004   -0.141
 0.21400    0.562    0.231    0.090    0.005   -0.141
 0.21450    0.561    0.231    0.090    0.004   -0.141
 0.21500    0.561    0.231    0.090    0.004   -0.141
 0.21550    0.560    0.232    0.091    0.004   -0.141
 0.21600    0.559    0.231    0.090    0.004   -0.141
 0.21650    0.558    0.231    0.090    0.004   -0.141
 0.21700    0.558    0.232    0.091    0.004   -0.141
 0.21750    0.557    0.232    0.091    0.004   -0.141
 0.21800    0.556    0.231    0.089    0.004   -0.142
 0.21850    0.555    0.231    0.089    0.004   -0.142
 0.21900    0.554    0.232    0.090    0.004   -0.142
 0.21950    0.553    0.231    0.089    0.004   -0.142
 0.22000    0.552    0.231    0.089    0.005   -0.142
 0.22050    0.552    0.232    0.091    0.004   -0.141
 0.22100    0.551    0.232    0.090    0.004   -0.142
 0.22150    0.550    0.231    0.089    0.004   -0.142
 0.22200    0.549    0.232    0.090    0.004   -0.142
 0.22250    0.549    0.232    0.090    0.004   -0.142
 0.22300    0.548    0.231    0.089    0.004   -0.142
 0.22350    0.547    0.231    0.089    0.004   -0.142
 0.22400    0.546    0.232    0.090    0.004   -0.142
 0.22450    0.545    0.232    0.090    0.003   -0.142
 0.22500    0.545    0.231    0.089    0.004   -0.142
 0.22550    0.544    0.232    0.090    0.004   -0.142
 0.22600    0.543    0.232    0.090    0.004   -0.142
 0.22650    0.542    0.232    0.090    0.004   -0.142
 0.22700    0.542    0.232    0.090    0.004   -0.142
 0.22750    0.541    0.232    0.090    0.003   -0.142
 0.22800    0.540    0.232    0.090    0.004   -0.142
 0.22850    0.539    0.232    0.090    0.003   -0.142
 0.22900    0.539    0.233    0.091    0.003   -0.142
 0.22950    0.538    0.232    0.090    0.004   -0.142
 0.23000    0.537    0.232    0.089    0.004   -0.143
 0.23050    0.537    0.233    0.091    0.003   -0.142
 0.23100    0.536    0.233    0.091    0.003   -0.142
 0.23150    0.535    0.232    0.090    0.003   -0.142
 0.23200    0.534    0.232    0.090    0.003   -0.142
 0.23250    0.534    0.233    0.091    0.003   -0.142
 0.23300    0.533    0.232    0.089    0.003   -0.143
 0.23350    0.532    0.233    0.091    0.003   -0.142
 0.23400    0.531    0.233    0.091    0.003   -0.142
 0.23450    0.531    0.233    0.091    0.002   -0.142
 0.23500    0.530    0.232    0.090    0.002   -0.142
 0.23550    0.529    0.233    0.090    0.002   -0.143
 0.23600    0.528    0.232    0.089    0.002   -0.143
 0.23650    0.528    0.232    0.089    0.002   -0.143
 0.23700    0.527    0.232    0.089    0.002   -0.143
 0.23750    0.526    0.232    0.089    0.002   -0.143
 0.23800    0.525    0.233    0.090    0.002   -0.143
 0.23850    0.524    0.232    0.089    0.002   -0.143
 0.23900    0.524    0.232    0.089    0.002   -0.143
 0.23950    0.523    0.232    0.089    0.002   -0.143
 0.24000    0.522    0.232    0.089    0.002   -0.143
 0.24050    0.521    0.232    0.089    0.002   -0.143
 0.24100    0.521    0.232    0.089    0.002   -0.143
 0.24150    0.520    0.232    0.089    0.002   -0.143
 0.24200    0.519    0.232    0.089    0.002   -0.143
 0.24250    0.519    0.232    0.089    0.002   -0.143
 0.24300    0.518    0.232    0.089    0.002   -0.143
 0.24350    0.517    0.233    0.090    0.002   -0.143
 0.24400    0.516    0.232    0.089    0.002   -0.143
 0.24450    0.516    0.233    0.090    0.002   -0.143
 0.24500    0.515    0.232    0.089    0.002   -0.143
 0.24550    0.514    0.232    0.089    0.002   -0.143
 0.24600    0.513    0.232    0.088    0.002   -0.144
 0.24650    0.513    0.233    0.090    0.002   -0.143
 0.24700    0.512    0.231    0.089    0.002   -0.142
 0.24750    0.511    0.232    0.088    0.003   -0.144
 0.24800    0.511    0.232    0.089    0.003   -0.143
 0.24850    0.510    0.231    0.089    0.003   -0.142
 0.24900    0.509    0.232    0.088    0.003   -0.144
 0.24950    0.508    0.231    0.089    0.003   -0.142
 0.25000    0.508    0.231    0.089    0.004   -0.142
 0.25050    0.507    0.232    0.088    0.003   -0.144
 0.25100    0.506    0.231    0.089    0.002   -0.142
 0.25150    0.506    0.233    0.089    0.003   -0.144
 0.25200    0.505    0.232    0.089    0.003   -0.143
 0.25250    0.504    0.231    0.089    0.002   -0.142
 0.25300    0.504    0.232    0.088    0.003   -0.144
 0.25350    0.502    0.231    0.088    0.003   -0.143
 0.25400    0.502    0.231    0.088    0.003   -0.143
 0.25450    0.501    0.231    0.088    0.002   -0.143
 0.25500    0.501    0.231    0.088    0.002   -0.143
 0.25550    0.500    0.230    0.087    0.003   -0.143
 0.25600    0.499    0.231    0.088    0.003   -0.143
 0.25650    0.498    0.231    0.088    0.002   -0.143
