   z       f1     W1-W2   W1-W3  W3-W4   W2-W3 
 0.18750    0.630    0.174   -0.087   -0.250   -0.261
 0.18800    0.629    0.175   -0.087   -0.249   -0.262
 0.18850    0.628    0.176   -0.087   -0.248   -0.263
 0.18900    0.627    0.176   -0.088   -0.247   -0.264
 0.18950    0.626    0.176   -0.089   -0.245   -0.265
 0.19000    0.625    0.176   -0.090   -0.245   -0.266
 0.19050    0.625    0.176   -0.091   -0.244   -0.267
 0.19100    0.624    0.177   -0.091   -0.243   -0.268
 0.19150    0.623    0.177   -0.092   -0.241   -0.269
 0.19200    0.622    0.177   -0.094   -0.240   -0.271
 0.19250    0.622    0.178   -0.093   -0.239   -0.271
 0.19300    0.621    0.178   -0.093   -0.239   -0.271
 0.19350    0.620    0.178   -0.094   -0.237   -0.272
 0.19400    0.619    0.178   -0.096   -0.235   -0.274
 0.19450    0.619    0.179   -0.096   -0.235   -0.275
 0.19500    0.618    0.180   -0.095   -0.233   -0.275
 0.19550    0.617    0.179   -0.098   -0.232   -0.277
 0.19600    0.616    0.179   -0.098   -0.231   -0.277
 0.19650    0.615    0.179   -0.099   -0.230   -0.278
 0.19700    0.615    0.180   -0.099   -0.228   -0.279
 0.19750    0.614    0.180   -0.100   -0.228   -0.280
 0.19800    0.613    0.180   -0.101   -0.226   -0.281
 0.19850    0.612    0.180   -0.102   -0.225   -0.282
 0.19900    0.611    0.181   -0.102   -0.224   -0.283
 0.19950    0.611    0.181   -0.103   -0.222   -0.284
 0.20000    0.610    0.181   -0.103   -0.221   -0.284
 0.20050    0.609    0.181   -0.104   -0.220   -0.285
 0.20100    0.608    0.182   -0.104   -0.219   -0.286
 0.20150    0.608    0.182   -0.105   -0.218   -0.287
 0.20200    0.607    0.182   -0.107   -0.216   -0.289
 0.20250    0.606    0.183   -0.106   -0.215   -0.289
 0.20300    0.605    0.182   -0.109   -0.214   -0.291
 0.20350    0.604    0.183   -0.108   -0.213   -0.291
 0.20400    0.603    0.183   -0.109   -0.212   -0.292
 0.20450    0.603    0.183   -0.110   -0.211   -0.293
 0.20500    0.602    0.182   -0.111   -0.211   -0.293
 0.20550    0.601    0.182   -0.112   -0.209   -0.294
 0.20600    0.600    0.183   -0.113   -0.207   -0.296
 0.20650    0.599    0.183   -0.114   -0.206   -0.297
 0.20700    0.598    0.183   -0.114   -0.205   -0.297
 0.20750    0.598    0.183   -0.115   -0.204   -0.298
 0.20800    0.597    0.184   -0.115   -0.203   -0.299
 0.20850    0.596    0.184   -0.115   -0.203   -0.299
 0.20900    0.596    0.184   -0.115   -0.203   -0.299
 0.20950    0.595    0.184   -0.116   -0.201   -0.300
 0.21000    0.594    0.185   -0.116   -0.200   -0.301
 0.21050    0.593    0.186   -0.117   -0.199   -0.303
 0.21100    0.592    0.185   -0.119   -0.197   -0.304
 0.21150    0.592    0.185   -0.120   -0.196   -0.305
 0.21200    0.591    0.185   -0.120   -0.197   -0.305
 0.21250    0.590    0.186   -0.119   -0.196   -0.305
 0.21300    0.589    0.186   -0.120   -0.195   -0.306
 0.21350    0.589    0.186   -0.121   -0.194   -0.307
 0.21400    0.587    0.186   -0.122   -0.194   -0.308
 0.21450    0.587    0.186   -0.124   -0.192   -0.310
 0.21500    0.586    0.186   -0.125   -0.190   -0.311
 0.21550    0.586    0.187   -0.124   -0.190   -0.311
 0.21600    0.584    0.186   -0.126   -0.190   -0.312
 0.21650    0.583    0.186   -0.126   -0.189   -0.312
 0.21700    0.583    0.187   -0.126   -0.188   -0.313
 0.21750    0.582    0.187   -0.127   -0.187   -0.314
 0.21800    0.581    0.186   -0.129   -0.187   -0.315
 0.21850    0.580    0.186   -0.131   -0.185   -0.317
 0.21900    0.580    0.187   -0.130   -0.185   -0.317
 0.21950    0.579    0.187   -0.130   -0.184   -0.317
 0.22000    0.577    0.186   -0.133   -0.183   -0.319
 0.22050    0.577    0.187   -0.132   -0.183   -0.319
 0.22100    0.576    0.187   -0.133   -0.182   -0.320
 0.22150    0.575    0.187   -0.134   -0.181   -0.321
 0.22200    0.574    0.187   -0.135   -0.180   -0.322
 0.22250    0.574    0.187   -0.136   -0.179   -0.323
 0.22300    0.573    0.187   -0.136   -0.179   -0.323
 0.22350    0.572    0.187   -0.138   -0.178   -0.325
 0.22400    0.571    0.188   -0.137   -0.178   -0.325
 0.22450    0.570    0.187   -0.139   -0.177   -0.326
 0.22500    0.569    0.187   -0.141   -0.175   -0.328
 0.22550    0.569    0.188   -0.140   -0.175   -0.328
 0.22600    0.568    0.188   -0.141   -0.175   -0.329
 0.22650    0.567    0.188   -0.142   -0.174   -0.330
 0.22700    0.567    0.188   -0.143   -0.173   -0.331
 0.22750    0.566    0.188   -0.144   -0.172   -0.332
 0.22800    0.565    0.188   -0.145   -0.171   -0.333
 0.22850    0.564    0.188   -0.146   -0.170   -0.334
 0.22900    0.564    0.189   -0.145   -0.170   -0.334
 0.22950    0.563    0.189   -0.147   -0.169   -0.336
 0.23000    0.562    0.188   -0.149   -0.168   -0.337
 0.23050    0.561    0.189   -0.148   -0.168   -0.337
 0.23100    0.560    0.190   -0.149   -0.167   -0.339
 0.23150    0.559    0.189   -0.151   -0.165   -0.340
 0.23200    0.559    0.189   -0.152   -0.165   -0.341
 0.23250    0.558    0.190   -0.152   -0.164   -0.342
 0.23300    0.557    0.189   -0.153   -0.163   -0.342
 0.23350    0.557    0.189   -0.154   -0.163   -0.343
 0.23400    0.556    0.190   -0.155   -0.162   -0.345
 0.23450    0.555    0.189   -0.156   -0.162   -0.345
 0.23500    0.554    0.189   -0.158   -0.159   -0.347
 0.23550    0.553    0.190   -0.158   -0.159   -0.348
 0.23600    0.552    0.189   -0.159   -0.159   -0.348
 0.23650    0.552    0.189   -0.160   -0.157   -0.349
