   z       f1     W1-W2   W1-W3  W3-W4   W2-W3 
 0.13000    0.716    0.170   -0.027   -0.249   -0.197
 0.13050    0.715    0.171   -0.026   -0.250   -0.197
 0.13100    0.715    0.172   -0.025   -0.251   -0.197
 0.13150    0.714    0.173   -0.025   -0.251   -0.198
 0.13200    0.713    0.172   -0.027   -0.252   -0.199
 0.13250    0.712    0.174   -0.025   -0.253   -0.199
 0.13300    0.712    0.174   -0.026   -0.253   -0.200
 0.13350    0.711    0.175   -0.026   -0.254   -0.201
 0.13400    0.710    0.175   -0.026   -0.255   -0.201
 0.13450    0.709    0.176   -0.026   -0.255   -0.202
 0.13500    0.708    0.177   -0.025   -0.256   -0.202
 0.13550    0.707    0.177   -0.025   -0.257   -0.202
 0.13600    0.706    0.178   -0.025   -0.257   -0.203
 0.13650    0.706    0.179   -0.025   -0.258   -0.204
 0.13700    0.705    0.180   -0.025   -0.258   -0.205
 0.13750    0.704    0.180   -0.025   -0.259   -0.205
 0.13800    0.703    0.180   -0.026   -0.259   -0.206
 0.13850    0.702    0.182   -0.024   -0.260   -0.206
 0.13900    0.702    0.182   -0.024   -0.262   -0.206
 0.13950    0.701    0.183   -0.024   -0.262   -0.207
 0.14000    0.700    0.183   -0.024   -0.262   -0.207
 0.14050    0.699    0.184   -0.025   -0.262   -0.209
 0.14100    0.699    0.185   -0.024   -0.263   -0.209
 0.14150    0.697    0.185   -0.025   -0.263   -0.210
 0.14200    0.696    0.186   -0.024   -0.264   -0.210
 0.14250    0.696    0.187   -0.023   -0.265   -0.210
 0.14300    0.695    0.187   -0.024   -0.266   -0.211
 0.14350    0.694    0.188   -0.024   -0.266   -0.212
 0.14400    0.693    0.188   -0.024   -0.266   -0.212
 0.14450    0.693    0.189   -0.024   -0.266   -0.213
 0.14500    0.692    0.190   -0.024   -0.267   -0.214
 0.14550    0.691    0.190   -0.025   -0.267   -0.215
 0.14600    0.690    0.191   -0.023   -0.268   -0.214
 0.14650    0.689    0.192   -0.023   -0.268   -0.215
 0.14700    0.689    0.193   -0.022   -0.269   -0.215
 0.14750    0.688    0.193   -0.023   -0.269   -0.216
 0.14800    0.687    0.193   -0.024   -0.269   -0.217
 0.14850    0.686    0.194   -0.024   -0.269   -0.218
 0.14900    0.686    0.195   -0.024   -0.270   -0.219
 0.14950    0.684    0.195   -0.023   -0.271   -0.218
 0.15000    0.684    0.196   -0.023   -0.271   -0.219
 0.15050    0.683    0.197   -0.022   -0.271   -0.219
 0.15100    0.682    0.198   -0.022   -0.272   -0.220
 0.15150    0.681    0.198   -0.023   -0.272   -0.221
 0.15200    0.680    0.198   -0.023   -0.272   -0.221
 0.15250    0.680    0.199   -0.024   -0.272   -0.223
 0.15300    0.679    0.200   -0.022   -0.273   -0.222
 0.15350    0.678    0.200   -0.023   -0.273   -0.223
 0.15400    0.677    0.200   -0.024   -0.274   -0.224
 0.15450    0.676    0.201   -0.023   -0.274   -0.224
 0.15500    0.676    0.202   -0.023   -0.274   -0.225
 0.15550    0.675    0.202   -0.023   -0.274   -0.225
 0.15600    0.674    0.202   -0.024   -0.275   -0.226
 0.15650    0.673    0.203   -0.022   -0.276   -0.225
 0.15700    0.672    0.204   -0.023   -0.275   -0.227
 0.15750    0.671    0.204   -0.023   -0.276   -0.227
 0.15800    0.670    0.204   -0.024   -0.276   -0.228
 0.15850    0.670    0.205   -0.023   -0.276   -0.228
 0.15900    0.669    0.206   -0.023   -0.277   -0.229
 0.15950    0.668    0.206   -0.023   -0.277   -0.229
 0.16000    0.667    0.206   -0.023   -0.277   -0.229
 0.16050    0.667    0.208   -0.022   -0.278   -0.230
 0.16100    0.666    0.208   -0.023   -0.277   -0.231
 0.16150    0.665    0.209   -0.022   -0.277   -0.231
 0.16200    0.664    0.209   -0.023   -0.277   -0.232
 0.16250    0.663    0.210   -0.022   -0.278   -0.232
 0.16300    0.663    0.210   -0.023   -0.278   -0.233
 0.16350    0.662    0.211   -0.022   -0.278   -0.233
 0.16400    0.661    0.211   -0.023   -0.278   -0.234
 0.16450    0.660    0.212   -0.023   -0.278   -0.235
 0.16500    0.659    0.212   -0.024   -0.277   -0.236
 0.16550    0.659    0.213   -0.024   -0.277   -0.237
 0.16600    0.658    0.214   -0.023   -0.278   -0.237
 0.16650    0.657    0.214   -0.023   -0.278   -0.237
 0.16700    0.656    0.214   -0.023   -0.278   -0.237
 0.16750    0.655    0.215   -0.023   -0.278   -0.238
 0.16800    0.655    0.215   -0.024   -0.278   -0.239
 0.16850    0.654    0.215   -0.024   -0.278   -0.239
 0.16900    0.653    0.216   -0.024   -0.277   -0.240
 0.16950    0.652    0.217   -0.024   -0.277   -0.241
 0.17000    0.652    0.218   -0.024   -0.277   -0.242
 0.17050    0.651    0.217   -0.025   -0.276   -0.242
 0.17100    0.650    0.218   -0.025   -0.276   -0.243
 0.17150    0.649    0.218   -0.025   -0.277   -0.243
 0.17200    0.648    0.219   -0.024   -0.277   -0.243
 0.17250    0.647    0.219   -0.024   -0.276   -0.243
 0.17300    0.647    0.220   -0.025   -0.275   -0.245
 0.17350    0.646    0.220   -0.026   -0.274   -0.246
 0.17400    0.645    0.221   -0.025   -0.274   -0.246
 0.17450    0.644    0.221   -0.026   -0.273   -0.247
 0.17500    0.643    0.221   -0.026   -0.273   -0.247
 0.17550    0.642    0.221   -0.026   -0.273   -0.247
 0.17600    0.642    0.223   -0.025   -0.273   -0.248
